invoice_id,date,customer,sale_usd,sale_iqd,cost_usd,cost_iqd
INV-1001,2026-05-10,محل النور,120.00,157200,80.00,104800
INV-1002,2026-05-10,شركة الأمل,450.00,589500,310.00,406100
INV-1003,2026-05-11,مؤسسة الفجر,75.50,98905,50.00,65500
INV-1004,2026-05-11,محل النور,200.00,262000,140.00,183400
INV-1005,2026-05-12,سوبر ماركت السعادة,980.00,1283800,720.00,943200
INV-1006,2026-05-12,محل الورود,60.00,78600,40.00,52400
INV-1007,2026-05-13,شركة الأمل,1200.00,1572000,890.00,1165900
INV-1008,2026-05-13,مؤسسة الفجر,330.00,432300,220.00,288200
INV-1009,2026-05-14,محل النور,150.00,196500,95.00,124450
INV-1010,2026-05-14,سوبر ماركت السعادة,550.00,720500,400.00,524000
INV-1011,2026-05-15,محل الورود,90.00,117900,60.00,78600
INV-1012,2026-05-15,شركة الأمل,780.00,1021800,560.00,733600
INV-1013,2026-05-16,مؤسسة الفجر,210.00,275100,140.00,183400
INV-1014,2026-05-16,محل النور,420.00,550200,290.00,379900
INV-1015,2026-05-17,سوبر ماركت السعادة,1500.00,1965000,1100.00,1441000
INV-1016,2026-05-17,محل الورود,45.00,58950,30.00,39300
INV-1017,2026-05-18,شركة الأمل,670.00,877700,480.00,628800
INV-1018,2026-05-18,محل النور,135.00,176850,90.00,117900
